unique_id,ds,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_1,2015-07-19,0.0,18936.884727186447,16496.333333333332,4438.800517982309,2094.935561333642
store_1,2015-07-26,0.0,19940.51068138492,18849.333333333332,4702.117400071265,2385.9027022173677
store_1,2015-08-02,0.0,19681.136635583392,18255.333333333332,4634.55808965216,2312.4498838217314
store_1,2015-08-09,0.0,18821.04830406758,16259.666666666666,4409.625813562157,2065.6698480559194
store_1,2015-08-16,0.0,19352.81711540891,17511.666666666664,4549.327260309623,2220.489593226521
store_1,2015-08-23,0.0,18614.871641035956,15801.0,4356.393530152704,2008.9520713374031
store_1,2015-08-30,0.0,19555.783309520142,18007.666666666664,4603.280749476018,2281.8239331663117
store_1,2015-09-06,0.0,18613.1235494329,15819.333333333332,4356.716707831253,2011.219133633565
store_10,2015-07-19,0.0,29509.4305772108,23153.270583466427,6562.364970627035,3043.356582026626
store_10,2015-07-26,0.0,31408.959475793134,27572.937250133094,7100.139632255374,3629.617118274805
store_10,2015-08-02,0.0,31575.48837437547,27948.937250133094,7146.638901191105,3679.4928166598984
store_10,2015-08-09,0.0,29852.731558672087,23916.60391679976,6657.558492576782,3144.6113243155114
store_10,2015-08-16,0.0,31799.974742968705,28447.60391679976,7208.859325267632,3745.640019482681
store_10,2015-08-23,0.0,30736.932212979613,25954.60391679976,6906.796455475702,3414.948221413435
store_10,2015-08-30,0.0,31451.461111561945,27609.270583466427,7108.644204039563,3634.4366671435773
store_10,2015-09-06,0.0,29582.132867287135,23234.937250133094,6578.013341802074,3054.189512970197
store_11,2015-07-19,0.0,34595.07543089517,31614.735801859726,11604.327715290678,6387.671346007822
store_11,2015-07-26,0.0,36924.24379204429,31634.355107645337,12496.526534092427,6391.6404063570335
store_11,2015-08-02,0.0,35599.98358176484,31653.974413430948,11987.65514081316,6395.609466706245
store_11,2015-08-09,0.0,34095.86622862825,31673.59371921656,11409.80950036841,6399.578527055457
store_11,2015-08-16,0.0,35105.89173263452,31693.21302500217,11796.124126695142,6403.547587404669
store_11,2015-08-23,0.0,33649.48866521221,31712.83233078778,11236.57665825458,6407.5166477538805
store_11,2015-08-30,0.0,35195.94274064705,31732.45163657339,11828.608757263106,6411.485708103092
store_11,2015-09-06,0.0,34111.82538751046,31752.070942359,11411.830858412093,6415.454768452304
store_12,2015-07-19,0.0,28512.925189489964,27182.545543924425,6883.305516354807,3916.2251553594674
store_12,2015-07-26,0.0,30610.481931453818,27201.231376954584,7502.221594934276,3918.9603692661367
store_12,2015-08-02,0.0,30437.752959131954,27219.917209984742,7450.656849572787,3921.6955831728055
store_12,2015-08-09,0.0,28894.02398681009,27238.6030430149,6994.196278175469,3924.4307970794753
store_12,2015-08-16,0.0,30656.43787163109,27257.28887604506,7514.135008846211,3927.166010986144
