unique_id,metric,Naive,WindowAverage,RWD,AutoARIMA,AutoETS,SeasonalNaive,SeasWA,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_1,mse,22951826.2,20368319.530555554,23783319.66851043,644514.9190263248,15951387.371737957,5331479.75,,644514.9190263248,19566033.98522117,2845387.747180856,2328906.3009098307,974094.7290866576
store_10,mse,72503577.25,46616342.77361111,75069773.68628484,2124898.646355969,47421931.267780736,13125987.775,,2124898.646355969,79747467.11184803,10027087.189095046,9725274.364541512,4056561.5470818877
store_11,mse,75943383.25,42860149.329166666,78281488.90757701,4889655.206402628,44148481.58497061,24418376.275,,4889655.206402628,77726112.2333376,11727023.457314786,12241591.708959177,6545556.941594754
store_12,mse,80051501.925,43431499.1625,82959923.92326903,2251164.777978257,44092068.591591045,19269428.025,,2251164.777978257,68236023.82868613,10278700.990513552,9336174.38451442,4223691.927079948
store_13,mse,115545548.125,59806499.10972222,121078860.0866191,3940461.8198771067,61700388.366264865,8103622.1,,3940461.8198771067,72888345.13772114,9886358.236964528,11594700.007935405,4254472.842889613
store_14,mse,80069220.8,46503950.81527778,83757421.96671055,1033768.9582047679,44548074.4387616,5840758.85,,1033768.9582047679,57490018.489692606,7281638.97928611,4988415.074241634,1700538.4781877105
store_15,mse,176305148.775,97972517.80277778,182798493.0774164,7546115.4206282515,104439595.30730543,60869026.9,,7546115.4206282515,175894814.7803659,28451473.958484292,28860745.89662806,12350356.278298963
store_16,mse,122931963.825,64047312.325,127293690.2282882,3942413.8668715507,63078389.53690018,219364238.35,,3942413.8668715507,143073126.7383065,27894006.316905,15070478.426504385,6542106.759068217
store_17,mse,247860016.725,139527700.28611112,260004257.29941916,6976968.187455338,140259098.67717877,17713124.775,,6976968.187455338,191590002.41707557,23557004.620231103,20913387.767136812,7760995.171107863
store_18,mse,163856567.65,85835745.22916666,168052762.29218966,2472158.0549973757,84813516.19438025,55390227.225,,2472158.0549973757,135724205.96606687,22218556.708520036,15101543.56564812,5874807.247441536
store_19,mse,45782022.925,22822866.77222222,47659453.13618945,1758949.36935593,20127224.824436564,24115209.175,,1758949.36935593,19926955.46718818,4802889.395755805,4439648.43626857,2268591.6998685575
store_2,mse,110060856.95,61642893.44861112,117505752.83426674,4532663.195242835,57485624.12039604,9756615.925,,4532663.195242835,86042133.06691936,7827384.759162106,11020419.916552875,3947381.9111952735
store_20,mse,52838684.35,36807070.63194445,55430489.14886375,1519173.5390415837,30772603.759439666,8747171.775,,1519173.5390415837,44573556.83628051,5951982.421862999,5905650.348303261,2559769.446891146
store_21,mse,92814947.85,45489357.15,97202575.64944188,2803264.564637688,43447860.92864173,13986313.45,,2803264.564637688,84343221.20810972,7170452.945509924,8364301.7096851645,3207455.431469963
store_22,mse,397515906.225,217370451.4513889,412072059.57026875,13593279.062106395,209092047.42826366,118942464.5,,13593279.062106395,329673955.8803259,72664064.31213751,69344227.49800634,32886605.752556033
store_23,mse,117606217.6,61672743.038888894,122594594.17212352,3431846.061074339,63130572.93022283,10743136.75,,3431846.061074339,83239389.28684554,11092652.003241476,11350788.412505036,5173801.220023206
store_24,mse,212297526.9,123135795.70555556,219958108.47075438,4583990.009270695,114871203.7747428,62175028.075,,4583990.009270695,118622962.47539547,29668855.35809334,22030067.605268665,6820150.766373309
store_25,mse,20898073.9,15008906.908333335,21885118.84757144,813788.0009746437,12308254.070050234,21022966.7,,813788.0009746437,18125357.438886214,6101856.107634445,3485011.7447644696,1788424.2440506082
store_26,mse,184347733.6,112252622.00833333,191058059.31849247,6301853.1738284845,113616157.73306358,30717740.325,,6301853.1738284845,166110711.79687014,22581334.76238844,23787213.06634374,9137688.742454749
store_27,mse,86256747.975,47850606.12083333,91435915.99087454,1887926.2819701552,51071514.1753934,21085170.825,,1887926.2819701552,54349734.41749428,8063932.648046831,6924999.408491525,2169758.416521893
store_28,mse,55092811.475,33276133.429166667,57417269.646952555,643640.253584422,30239100.571643222,7074113.15,,643640.253584422,44989289.081039265,4844622.281759673,3217932.7313224114,912826.299477404
store_29,mse,74214458.075,49893336.27916667,76406146.53745279,1401040.5704363673,46835205.613693066,24685678.175,,1401040.5704363673,84149351.59395225,10565869.101468096,9125562.733245175,3468380.98638618
store_3,mse,130756521.85,78205490.42083335,134787267.22721177,7871878.635869101,75084054.71647488,15138741.45,,7871878.635869101,131104810.95093858,16824440.46542427,22230260.256286282,10190483.14063433
store_30,mse,12756692.85,10146707.873611111,13066597.635760754,701503.9618001368,9482156.856902521,7604654.975,,701503.9618001368,13109091.595705938,3141047.395602151,2600906.5850381153,1351161.7150429334
