unique_id,metric,Naive,WindowAverage,RWD,AutoARIMA,AutoETS,SeasonalNaive,SeasWA,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_43,mse,102701754.29166667,69546633.4357639,117004455.19528018,2728424.894607099,67522160.04229845,77116422.02777778,,2728424.894607099,86613343.29137209,33116210.824370306,4423506.819791473,3464020.2532111816
store_44,mse,238968992.1527778,161860209.30381945,281020996.4251572,4562418.041239523,154840937.17345673,168026184.44444445,,4562418.041239523,199166416.3619925,76355692.55063422,7553960.729201481,5879560.588794403
store_45,mse,40756869.25,31355123.993055556,44607583.85638144,2958430.1030843095,32522079.56631226,28279152.944444444,,2958430.1030843095,40947207.68884084,13083701.202440234,5579387.937530833,3829963.3588048145
store_46,mse,99108662.125,67903330.6701389,115738153.6149156,2240068.79268386,65547924.48932784,68617004.22222222,,2240068.79268386,88555630.21511629,32361306.436041627,3727424.0381353195,2915718.356920281
store_47,mse,50342061.375,45740830.744791664,55938210.36269554,3724381.604748185,44849458.46443568,39514376.18055555,,3724381.604748185,68188330.36632557,18499375.533197556,7667083.917038943,5115069.105805877
store_48,mse,141062880.08333334,102543509.83159722,155322471.4705109,6293542.7090113275,103587432.31391531,103585581.72222222,,6293542.7090113275,131023729.34797852,43384145.04210845,12712722.994314648,8364329.198355875
store_49,mse,82005365.4861111,50296695.77430555,93319360.79573001,1614070.0192858092,48998772.425013,53796614.416666664,,1614070.0192858092,61903910.72397908,23940347.873982582,2765501.735868924,2083330.2421130703
store_5,mse,82559516.18055555,50292367.42361111,93470507.13538282,2344589.5193973216,51326628.78429685,70035243.02777778,,2344589.5193973216,80634653.78168541,25229855.833399445,4255633.841456273,3240575.959496122
store_50,mse,107250686.90277778,72134172.82291667,123370824.33931701,2684536.2098553088,71931721.65981086,75909343.83333333,,2684536.2098553088,108384666.89504784,35353774.554304935,4758039.017407827,3597489.541838794
store_51,mse,259377912.44444445,166318718.08506945,307512258.18976897,4298208.040684418,161292246.59388795,176637091.31944445,,4298208.040684418,198131660.2188147,74730356.5030499,5437991.390538486,4677866.136270884
